primary;category
bar_and_grill_restaurant;Social, Cultural
insurance_agency;Shopping, Errands
scandinavian_restaurant;Social, Cultural
soccer_field;Recreational, Outdoors
boutique;Shopping, Errands
doctor;Healthcare and Health
psychologist;Healthcare and Health
hvac_supplier;Others / Not sure
labor_union;Others / Not sure
hostel;Recreational, Outdoors
political_organization;Others / Not sure
storage_facility;Others / Not sure
hair_salon;Recreational, Outdoors
breakfast_and_brunch_restaurant;Social, Cultural
vietnamese_restaurant;Social, Cultural
auto_glass_service;Shopping, Errands
employment_agencies;Others / Not sure
energy_company;Others / Not sure
warehouses;Others / Not sure
carpenter;Others / Not sure
cocktail_bar;Social, Cultural
merchandising_service;Others / Not sure
media_news_company;Social, Cultural
delicatessen;Social, Cultural
self_storage_facility;Others / Not sure
motorcycle_dealer;Shopping, Errands
international_business_and_trade_services;Others / Not sure
business_to_business;Others / Not sure
rental_service;Others / Not sure
it_service_and_computer_repair;Others / Not sure
organization;Others / Not sure
roofing;Others / Not sure
recycling_center;Others / Not sure
massage;Recreational, Outdoors
brewery;Social, Cultural
swimming_pool;Recreational, Outdoors
european_restaurant;Social, Cultural
carpet_store;Shopping, Errands
telecommunications;Others / Not sure
translating_and_interpreting_services;Others / Not sure
pet_groomer;Shopping, Errands
mountain;Recreational, Outdoors
architect;Others / Not sure
tennis_court;Recreational, Outdoors
shoe_repair;Shopping, Errands
funeral_services_and_cemeteries;Others / Not sure
financial_advising;Shopping, Errands
outdoor_gear;Shopping, Errands
key_and_locksmith;Shopping, Errands
plumbing;Others / Not sure
motorcycle_repair;Shopping, Errands
lounge;Social, Cultural
disability_services_and_support_organization;Healthcare and Health
barbecue_restaurant;Social, Cultural
ice_skating_rink;Recreational, Outdoors
used_car_dealer;Shopping, Errands
appliance_store;Shopping, Errands
courier_and_delivery_services;Others / Not sure
home_security;Others / Not sure
print_media;Social, Cultural
bus_station;Others / Not sure
hobby_shop;Shopping, Errands
home_and_garden;Shopping, Errands
amateur_sports_team;Recreational, Outdoors
health_food_store;Shopping, Errands
diner;Social, Cultural
auto_electrical_repair;Shopping, Errands
public_relations;Others / Not sure
candy_store;Shopping, Errands
acupuncture;Healthcare and Health
car_wash;Shopping, Errands
educational_services;Education
tutoring_center;Education
computer_store;Shopping, Errands
escape_rooms;Recreational, Outdoors
auto_parts_and_supply_store;Shopping, Errands
