city,exposure_level,n_users,mean_co2,median_co2,pct_below_2030,pct_below_2050,mode
Turku,0.0,6650,4053.645167819549,3249.387,84.3157894736842,46.0,PT
Turku,0.1,6650,4566.205146165414,3783.957,80.54135338345864,37.368421052631575,PT
Turku,0.2,6650,4917.2599948872175,4140.248,77.54887218045113,31.894736842105264,PT
Turku,0.3,6650,5200.197244812031,4495.244000000001,75.48872180451129,28.030075187969928,PT
Turku,0.4,6650,5430.828083609023,4743.368,73.06766917293233,25.413533834586467,PT
Turku,0.5,6650,5660.77516962406,4974.862999999999,70.63157894736842,22.84210526315789,PT
Turku,0.6,6650,5921.698251428572,5222.684,67.87969924812029,20.30075187969925,PT
Turku,0.7,6650,6223.50220661654,5556.742,64.63157894736841,17.72932330827068,PT
Turku,0.8,6650,6613.511938646618,5975.139,60.69172932330827,14.390977443609025,PT
Turku,0.9,6650,7261.303621052632,6638.880000000001,53.69924812030074,10.330827067669173,PT
Turku,1.0,6650,8899.027756992482,8361.218,36.06015037593985,4.300751879699248,PT
Turku,0.0,6754,13833.632296416938,11312.255,19.98815516730826,0.1924785312407462,Car
Turku,0.1,6754,15348.554785312406,12738.705,11.563517915309443,0.0148060408646727,Car
Turku,0.2,6754,16215.726202250518,13609.245,7.713947290494522,0.0148060408646727,Car
Turku,0.3,6754,16860.740817293456,14335.155,5.537459283387622,0.0,Car
Turku,0.4,6754,17375.337395617415,14898.015,4.14569144210838,0.0,Car
Turku,0.5,6754,17860.926818181815,15497.375,2.931596091205212,0.0,Car
Turku,0.6,6754,18403.722946402133,16061.785,1.939591353272135,0.0,Car
Turku,0.7,6754,19024.415111045302,16673.239999999998,1.1992893100384956,0.0,Car
Turku,0.8,6754,19813.765241338464,17572.325,0.7106899615042938,0.0,Car
Turku,0.9,6754,21144.035111045305,18849.925,0.3109268581581285,0.0,Car
Turku,1.0,6754,24871.836542789457,22786.36,0.1628664495114006,0.0,Car
Turku,0.0,4011,976.3276715500592,783.8344289213874,99.950137122912,97.78110196958364,Bike
Turku,0.1,4011,1105.5016901734064,905.4021857750896,99.87534280727998,96.8337073049115,Bike
Turku,0.2,4011,1200.4490370626547,990.3577709011788,99.82547993019196,95.78658688606332,Bike
Turku,0.3,4011,1278.3408230190178,1075.448996427726,99.82547993019196,94.9389179755672,Bike
Turku,0.4,4011,1341.1085562432866,1143.6304102051922,99.80054849164796,94.26576913487908,Bike
Turku,0.5,4011,1403.1117430761626,1210.012247688645,99.77561705310396,93.64248317127898,Bike
Turku,0.6,4011,1467.849320376719,1263.7174233947424,99.75068561455996,92.79481426078284,Bike
Turku,0.7,4011,1542.829141441237,1341.9302176268748,99.75068561455996,91.8474195961107,Bike
Turku,0.8,4011,1643.9436660879055,1430.0781607452063,99.75068561455996,90.45125903764648,Bike
Turku,0.9,4011,1816.6669007012083,1618.728320356296,99.70082273747197,86.91099476439791,Bike
Turku,1.0,4011,2317.1665466954755,2094.767945296228,99.55123410620791,75.14335577162802,Bike
