city,mode,n_users,mean_kg,sd_kg,p5_kg,p10_kg,p25_kg,median_kg,p75_kg,p90_kg,p95_kg,whisker_low_kg,whisker_high_kg,pct_within_3.8kg,pct_within_5.6kg,pct_within_7.0kg,pct_within_8.4kg
Helsinki,bike,63819,0.26307462869453674,0.2576030162956466,0.01965495077135531,0.028568143585969593,0.05747194828040568,0.16733205578505414,0.4078214355229714,0.6342945695100181,0.781461271714373,0.010077944173068336,0.9332392044255962,100.0,100.0,100.0,100.0
Helsinki,pt,68826,0.7450694876936041,0.6839507967289553,0.057232,0.08344,0.194572,0.524892,1.1146779999999998,1.740819,2.122381,0.026432,2.493972,99.9244471565978,100.0,100.0,100.0
Helsinki,car,62879,2.8515349173810014,2.238470557082994,0.5848900000000001,0.68323,1.0060799999999999,2.11252,4.2390550000000005,6.082306000000001,7.29846,0.35187999999999997,9.08661,70.51320790725043,86.74120135498337,94.03298398511427,97.49041810461362
Turku,bike,12929,0.23712253752453186,0.21686885569718045,0.026493598802883593,0.03844430214951485,0.07782193213168381,0.17099529898280616,0.33768229760905355,0.5484196762907884,0.6595944822775318,0.0106267628159928,0.7272214230450501,100.0,100.0,100.0,100.0
Turku,pt,13611,0.8372613934317832,0.7240605313602724,0.07783999999999999,0.125488,0.276854,0.6137400000000001,1.2108700000000001,1.904674,2.284838,0.031808,2.611644,99.75020204246565,100.0,100.0,100.0
Turku,car,12980,2.6992163543913716,1.8202453086570152,0.7478800000000001,0.91863,1.3013800000000002,2.18133,3.6603075,5.215336000000001,6.144229999999999,0.41576,7.195030000000001,76.64098613251156,92.34206471494608,96.85670261941448,98.7211093990755
Tampere,bike,17844,0.3015765530604824,0.32059595228493676,0.022400682940654035,0.03265730178854792,0.06818125928478583,0.19043763136320985,0.42168757210572966,0.7053535231125528,0.9049144970641155,0.010094106816835004,0.9518232170964127,99.99439587536428,100.0,100.0,100.0
Tampere,pt,18515,0.8860790147448013,0.8850977654053453,0.06944,0.099314,0.217269,0.551774,1.302609,2.110228,2.7037600000000004,0.031584,2.9301500000000003,98.85498244666486,99.97839589522009,100.0,100.0
Tampere,car,17424,3.0840559544306703,2.451801753664553,0.6271635,0.7629199999999999,1.1230725000000001,2.298,4.303780000000001,6.617460000000005,8.374683999999988,0.38616,9.05916,69.86340679522498,84.1196051423324,91.28213957759412,95.0413223140496
Oulu,bike,8354,0.31244529479138977,0.4259791839906819,0.022356441978346894,0.032584002613115094,0.07242777643372326,0.18630536005572534,0.376494365557946,0.6926417698518663,1.0339870164110891,0.010633290979255585,0.832346758779727,99.80847498204453,99.95211874551113,100.0,100.0
Oulu,pt,8828,0.9469813470774808,0.971702861889258,0.066416,0.10056480000000004,0.236556,0.626651,1.3342800000000001,2.126128,2.965536499999998,0.035392,2.978756,97.36067059356593,99.8867240598097,100.0,100.0
Oulu,car,8481,2.782330615493456,2.2584130372404725,0.63266,0.77415,1.10263,2.06471,3.64168,5.7677,7.75926,0.40642,7.437549999999999,76.64190543567976,89.2465511142554,93.36163188303266,96.01462091734464
