city,mode,income_decile,n_users,compliance_rate,avg_co2_kg,median_co2_kg,income_min_eur,income_max_eur
Helsinki,bike,1,3684,0.9997230684021047,2.028370372818295,1.9168735032752662,0.0,20532.0
Helsinki,bike,2,3802,0.9981476581106112,2.120108515398984,1.9981383953758451,20544.0,22633.0
Helsinki,bike,3,3753,0.9997326917936381,1.9057456613171746,1.76895206493374,22637.0,24433.0
Helsinki,bike,4,3825,0.9997358689910195,1.8448653762088403,1.6408278504772227,24436.0,26043.0
Helsinki,bike,5,3739,0.9997302400863232,1.706063483286418,1.5097094896204113,26053.0,27636.0
Helsinki,bike,6,3821,0.9997350291467939,1.710359949691473,1.508182303029097,27637.0,29094.0
Helsinki,bike,7,3936,0.9989656064132403,1.7660885229176746,1.5961443712619425,29096.0,31320.0
Helsinki,bike,8,3754,1.0,1.713305914986323,1.5119840533976472,31330.0,33482.0
Helsinki,bike,9,3806,1.0,1.7559477807357091,1.6185122860289733,33489.0,37154.0
Helsinki,bike,10,3456,0.9996873045653534,1.8203352560001391,1.6633442223264807,37165.0,104269.0
Helsinki,pt,1,3318,0.6475211608222491,6.173965569528416,5.495196,0.0,20532.0
Helsinki,pt,2,3506,0.6786735277301315,6.071826575185821,5.207376,20544.0,22633.0
Helsinki,pt,3,3417,0.6799647990613084,5.915208401290701,5.137834,22637.0,24433.0
Helsinki,pt,4,3468,0.6631974559121133,5.9418097976293724,5.356303999999999,24436.0,26043.0
Helsinki,pt,5,3379,0.6822901216256304,5.75368861109463,4.876752000000001,26057.0,27636.0
Helsinki,pt,6,3423,0.6586580720773513,5.923598158804571,5.17457,27637.0,29094.0
Helsinki,pt,7,3558,0.6095774647887324,6.316765761126761,5.722264000000001,29096.0,31320.0
Helsinki,pt,8,3361,0.5961194029850746,6.5408120011940305,5.9618780000000005,31330.0,33482.0
Helsinki,pt,9,3374,0.4997030878859858,7.300516169833728,7.00201,33489.0,37154.0
Helsinki,pt,10,2913,0.5189263592567103,7.313748938747419,6.827246000000001,37165.0,63272.0
Helsinki,car,1,3313,0.03875264910687254,22.477698873751137,21.57585,0.0,20532.0
Helsinki,car,2,3497,0.05101748351963313,23.047867211235314,22.62466,20544.0,22633.0
Helsinki,car,3,3425,0.07316359379572725,21.19831885279485,20.63018,22637.0,24433.0
Helsinki,car,4,3483,0.07136690647482015,20.777746748201437,20.07497,24436.0,26043.0
Helsinki,car,5,3382,0.07972732661529341,19.97085568168346,18.438305,26057.0,27636.0
Helsinki,car,6,3439,0.07407407407407407,20.35300212015165,18.82044,27637.0,29094.0
Helsinki,car,7,3559,0.06955787102224725,20.912373894677554,19.671560000000003,29096.0,31320.0
Helsinki,car,8,3359,0.06421744324970131,20.729805044802866,19.47972,31330.0,33482.0
Helsinki,car,9,3385,0.04320804971885173,22.093097537733055,21.25764,33489.0,37154.0
Helsinki,car,10,2920,0.03913491246138002,22.570745932028835,21.79481,37165.0,63272.0
Turku,bike,1,625,1.0,1.173441483479585,1.0827445230321946,0.0,17380.0
Turku,bike,2,666,0.9984662576687117,1.2393963645725146,1.0614180033445442,17387.0,19145.0
Turku,bike,3,690,1.0,1.1410323024842244,0.9098217906338486,19146.0,20553.0
Turku,bike,4,721,1.0,1.125106117080588,1.0120447820309861,20591.0,21898.0
Turku,bike,5,659,0.9984779299847792,1.2337910523773303,0.9928630145272457,21902.0,23621.0
Turku,bike,6,656,1.0,1.296838953287329,1.16158528743821,23630.0,25298.0
Turku,bike,7,661,0.992412746585736,1.498830974002898,1.245852119036033,25315.0,26826.0
Turku,bike,8,619,1.0,1.4829292735877297,1.3611481525398579,26847.0,28399.0
Turku,bike,9,674,1.0,1.3875275006703607,1.2305302094019641,28413.0,31312.0
Turku,bike,10,765,1.0,1.6134804107687546,1.5252150103402282,31317.0,47662.0
Turku,pt,1,497,0.8629032258064516,4.662761467741936,4.391264,0.0,17380.0
Turku,pt,2,604,0.8344370860927153,4.647741632450331,4.148169000000001,17387.0,19145.0
Turku,pt,3,644,0.8462732919254659,4.429235791925466,3.671811,19146.0,20553.0
Turku,pt,4,685,0.8550512445095169,4.329594257686677,3.6930440000000004,20591.0,21898.0
Turku,pt,5,620,0.7835218093699515,4.853784949919225,4.2307619999999995,21902.0,23621.0
Turku,pt,6,607,0.7586776859504132,5.3142159636363635,4.789182,23630.0,25298.0
Turku,pt,7,611,0.639344262295082,6.328781780327868,5.581678999999999,25315.0,26826.0
Turku,pt,8,573,0.6409807355516638,6.249056651488616,5.8770359999999995,26847.0,28399.0
Turku,pt,9,640,0.6347962382445141,6.019899213166144,5.994554,28413.0,31312.0
Turku,pt,10,705,0.4751066856330014,7.5485887652916075,7.2813799999999995,31317.0,45018.0
Turku,car,1,498,0.03621730382293763,14.303430523138834,13.132880000000002,0.0,17380.0
Turku,car,2,615,0.032520325203252036,15.58610287804878,13.615590000000001,17387.0,19145.0
Turku,car,3,651,0.08602150537634409,14.619031874039939,11.9551,19146.0,20553.0
Turku,car,4,691,0.033381712626995644,14.466844049346879,12.779549999999999,20591.0,21898.0
Turku,car,5,633,0.030063291139240507,15.771564018987341,12.978404999999999,21902.0,23621.0
Turku,car,6,609,0.036243822075782535,17.344161466227348,15.282449999999999,23630.0,25298.0
Turku,car,7,620,0.014539579967689823,20.129707495961227,17.89731,25315.0,26826.0
Turku,car,8,575,0.01048951048951049,19.167499527972026,17.04577,26847.0,28399.0
Turku,car,9,644,0.024922118380062305,18.28406375389408,17.488705,28413.0,31312.0
Turku,car,10,710,0.005649717514124294,22.50461492937853,21.765175,31317.0,45018.0
Tampere,bike,1,752,0.992548435171386,1.7295231200999581,1.6188385819887252,0.0,17941.0
Tampere,bike,2,897,0.9955357142857143,1.55491332345679,1.2914192708107621,17948.0,19846.0
Tampere,bike,3,842,1.0,1.5118902175077777,1.361530426121059,19856.0,21243.0
Tampere,bike,4,865,0.9930313588850174,1.7804326506889567,1.5379878310236441,21249.0,23042.0
Tampere,bike,5,797,0.9987405541561712,1.7619691772292267,1.5702428288062495,23044.0,24685.0
Tampere,bike,6,875,0.9964953271028038,1.9787108931200996,1.6819760031385662,24713.0,25911.0
Tampere,bike,7,817,0.996309963099631,1.8221869746918269,1.6834689203935647,25927.0,27440.0
Tampere,bike,8,870,0.9884125144843569,1.833301334636006,1.482352065185757,27448.0,29087.0
Tampere,bike,9,894,1.0,2.0699241029805058,1.9257169684106428,29095.0,31829.0
Tampere,bike,10,767,1.0,1.9402905692734944,1.7649557556776685,31835.0,51177.0
Tampere,pt,1,622,0.7717041800643086,4.769023852090032,3.665659,0.0,17941.0
Tampere,pt,2,838,0.8172043010752689,4.90956037037037,4.45568,17948.0,19846.0
Tampere,pt,3,779,0.7509627727856226,4.935032970474968,4.263814,19859.0,21243.0
Tampere,pt,4,805,0.7487562189054726,5.8488848905472635,5.248173,21249.0,23042.0
Tampere,pt,5,729,0.6414835164835165,6.180145159340659,5.539973999999999,23044.0,24685.0
Tampere,pt,6,784,0.5719794344473008,7.039584958868895,6.598096,24713.0,25911.0
Tampere,pt,7,736,0.5801630434782609,6.847678891304348,6.3900820000000005,25927.0,27440.0
Tampere,pt,8,760,0.61133069828722,6.856816421607378,6.009116,27461.0,29087.0
Tampere,pt,9,832,0.4614457831325301,7.931184725301204,7.430327,29095.0,31829.0
Tampere,pt,10,697,0.5114942528735632,7.741596922413794,6.885289,31964.0,51177.0
Tampere,car,1,629,0.09220985691573927,18.152605850556437,17.28416,0.0,17941.0
Tampere,car,2,843,0.07007125890736342,17.97282510688836,16.687420000000003,17948.0,19846.0
Tampere,car,3,784,0.10204081632653061,17.30442386479592,15.820745000000002,19859.0,21243.0
Tampere,car,4,799,0.08020050125313283,19.41209284461153,18.466425,21249.0,23042.0
Tampere,car,5,727,0.05922865013774105,20.574312162534433,18.470305,23044.0,24685.0
Tampere,car,6,775,0.02077922077922078,24.808586675324676,22.398020000000002,24713.0,25911.0
Tampere,car,7,741,0.010796221322537112,22.284061794871793,20.936349999999997,25927.0,27440.0
Tampere,car,8,788,0.020356234096692113,23.10080745547074,20.762340000000002,27461.0,29087.0
Tampere,car,9,808,0.008684863523573201,26.11283648883375,23.876995,29095.0,31829.0
Tampere,car,10,710,0.0014104372355430183,25.038862002820874,23.36333,31964.0,51177.0
Oulu,bike,1,290,0.9812734082397003,1.527378553969611,0.9791783506328374,0.0,16977.0
Oulu,bike,2,208,0.9805825242718447,1.3418362268456834,0.8367924195592651,17054.0,18844.0
Oulu,bike,3,315,0.9904153354632588,1.1764038338503073,0.7653786757199301,18877.0,20589.0
Oulu,bike,4,440,0.9863636363636363,1.5025452852222003,0.9477579745375454,20627.0,22849.0
Oulu,bike,5,360,0.9943820224719101,1.5173347333094112,1.1984184384904832,22913.0,24721.0
Oulu,bike,6,364,0.9541547277936963,2.095714147831746,1.4969671202107437,24769.0,26461.0
Oulu,bike,7,372,0.9890710382513661,1.6731003458501046,1.2744641394354406,26486.0,28208.0
Oulu,bike,8,428,0.9785202863961814,1.7345974716149906,1.2714205062369652,28215.0,29750.0
Oulu,bike,9,396,0.9836065573770492,1.8179380757508428,1.3709582994354483,29870.0,32384.0
Oulu,bike,10,407,0.9926289926289926,1.5816659633550951,1.42929785320478,32540.0,49864.0
Oulu,pt,1,234,0.8318965517241379,4.95894650862069,3.7536259999999997,0.0,16942.0
Oulu,pt,2,182,0.8388888888888889,4.287646177777778,3.3076860000000003,17054.0,18844.0
Oulu,pt,3,283,0.833922261484099,4.783334791519434,3.80245,18877.0,20589.0
Oulu,pt,4,381,0.7427821522309711,5.472441223097113,4.604676,20627.0,22849.0
Oulu,pt,5,310,0.6116504854368932,6.930605553398058,6.171212,22913.0,24721.0
Oulu,pt,6,303,0.5346534653465347,7.8449755709570965,6.678030000000001,24769.0,26461.0
Oulu,pt,7,317,0.5506329113924051,7.4424604303797475,6.620519999999999,26486.0,28208.0
Oulu,pt,8,383,0.5130890052356021,7.9008258900523565,6.941352999999999,28215.0,29750.0
Oulu,pt,9,320,0.49375,7.65391928125,7.046818,29870.0,32384.0
Oulu,pt,10,367,0.3896457765667575,7.522775264305177,7.492322,32540.0,49864.0
Oulu,car,1,239,0.02109704641350211,15.9591505907173,12.628409999999999,0.0,16942.0
Oulu,car,2,182,0.16111111111111112,13.555355388888888,11.339120000000001,17054.0,18844.0
Oulu,car,3,285,0.16140350877192983,15.214420385964912,12.49437,18877.0,20589.0
Oulu,car,4,382,0.14397905759162305,15.980303167539267,13.159950000000002,20627.0,22849.0
Oulu,car,5,313,0.038461538461538464,20.05050237179487,18.089925,22913.0,24721.0
Oulu,car,6,305,0.009836065573770493,21.660268426229507,18.98107,24769.0,26461.0
Oulu,car,7,324,0.012422360248447204,21.27108149068323,19.00112,26486.0,28208.0
Oulu,car,8,379,0.013227513227513227,21.259055026455027,17.869385,28215.0,29750.0
Oulu,car,9,322,0.012422360248447204,21.525957608695652,19.95068,29870.0,32384.0
Oulu,car,10,372,0.002688172043010753,20.62324166666667,20.292395,32540.0,49864.0
