city,mode,n_users,mean_kg,sd_kg,p5_kg,p10_kg,p25_kg,median_kg,p75_kg,p90_kg,p95_kg,whisker_low_kg,whisker_high_kg,pct_within_3.8kg,pct_within_5.6kg,pct_within_7.0kg,pct_within_8.4kg
Helsinki,bike,37776,1.8416471712394922,1.1587583808359294,0.3120831453105679,0.4631945329687873,0.9183159596262979,1.6712277404727942,2.5781347800304912,3.4194255056520984,3.9745720631484547,0.016733954286591465,5.067435329098141,93.65999576450656,99.57380347310462,99.95499788225328,100.0
Turku,bike,7155,1.3509181719303074,0.8388454996760528,0.3552676244089266,0.481147814370233,0.744314116326328,1.1730210879901781,1.7679875150989268,2.5023778030015875,2.9736267522095834,0.035788046022359,3.2997837349453483,98.93780573025856,99.8043326345213,99.87421383647799,100.0
Tampere,bike,9145,1.8587387464933036,1.2444436199879387,0.351168431944308,0.5220113224082892,0.975330540466274,1.6309819574992215,2.4038026521165503,3.452790110148943,4.1528207998742905,0.04217248617223455,4.5405793249190305,92.85948605795517,98.56752323674138,99.49699289229088,99.74849644614542
Oulu,bike,3973,1.700012780255577,1.5882289882605616,0.32876575034401284,0.46519804966685513,0.7816898040041538,1.2533513064397421,2.0085158899567572,3.369750759544583,4.747252769826148,0.055581936355971764,3.8454254809734802,91.46740498363957,96.65240372514474,98.23810722376038,99.39592247671784
Overall,bike,58049,1.7741597559568825,1.184737298194561,0.32282872306795873,0.4741154101113572,0.8797494289349334,1.550991791327947,2.4208953486427016,3.3324936178000337,3.950624260472364,0.016733954286591465,4.731510204282738,94.034350290272,99.24374235559613,99.75537907629761,99.91903391961962
Helsinki,pt,34397,6.349131323313079,3.878199839900069,1.135554,1.7849504,3.3556259999999996,5.7196180000000005,8.740255999999999,11.773633200000003,13.613684399999995,0.313376,16.809088,29.90667790795709,48.88216995668227,62.12751112015583,72.79413902375207
Turku,pt,6650,5.660775169624061,3.33838070250468,1.436754,1.9482014,3.1853405,4.974862999999999,7.587095999999999,10.307521,12.0389248,0.37676800000000005,14.188466,33.849624060150376,57.6390977443609,70.63157894736842,80.45112781954887
Tampere,pt,8243,6.465769226009948,4.020780579797572,1.1908142000000002,1.8937532000000001,3.3664829999999997,5.834969999999999,8.858706000000002,11.967104,13.799952799999998,0.38113600000000003,17.052684000000003,28.654616037850296,47.00958388936067,63.47203687977678,72.54640300861337
Oulu,pt,3393,6.797893290893016,4.533203823914478,1.2214452000000002,1.9166044,3.6051599999999997,5.962396000000001,8.62984,12.829810800000002,16.430022399999995,0.397656,16.156813999999997,27.468317123489538,46.44857058650162,60.506926024167406,73.53374594753905
Overall,pt,52683,6.309394162671071,3.8925793693793533,1.1837476000000002,1.8250032000000003,3.348588,5.643908,8.600608000000001,11.666874800000002,13.586334999999995,0.313376,16.478392,30.05143974337073,49.53780156786819,63.306949110718826,73.769527171953
Helsinki,car,34444,21.504054888224363,10.648989494601143,6.659283,8.257908,12.8498975,20.609025,28.5484925,36.02238500000001,41.09542099999999,2.54702,52.072919999999996,0.3222622227383579,2.688421786087562,6.018464754383928,10.550458715596331
Turku,car,6754,17.860926818181817,8.912854785924596,7.509104,8.525067,11.1074475,15.497375,22.983967500000002,30.852700000000002,34.56318499999999,3.8714299999999997,40.765550000000005,0.0,0.44418122594018355,2.9315960912052117,9.268581581285163
Tampere,car,8340,22.084851679856115,11.692437831988373,7.1672665,8.567411,13.296535,19.929699999999997,28.8034325,38.167093,45.15568099999999,3.03724,52.04698,0.09592326139088729,1.3069544364508392,4.4124700239808154,9.292565947242206
Oulu,car,3483,19.726997275337354,10.823408529909292,6.948274,8.06755,12.074089999999998,17.37377,23.913895000000004,35.661808000000015,43.61352699999997,3.4415999999999998,41.65744,0.028710881424059722,0.7751937984496124,5.340223944875108,10.910134941142694
Overall,car,53021,21.014601022613682,10.709485328017703,6.89582,8.33889,12.46841,19.453049999999998,27.814870000000003,35.69751,41.17913,2.54702,50.82981999999999,0.22632541823051242,2.059561305897663,5.328077554176646,10.212934497651874
Helsinki,car_bev,34444,9.291875568985835,4.601415213716543,2.8774679629629625,3.568231851851851,5.552424845679012,8.90513425925926,12.33576836419753,15.565228086419754,17.75728067901234,1.100564197530864,22.500644444444443,11.903379398443851,25.325165486006274,35.8988503077459,46.29543607014284
Turku,car_bev,6754,7.717684427609428,3.8512335494735903,3.2446745679012343,3.683670925925926,4.799514351851851,6.696396604938271,9.931343981481481,13.331413580246913,14.93470956790123,1.67284012345679,17.614743827160495,11.26739709801599,36.33402428190702,53.40538939887474,66.13858454249333
Tampere,car_bev,8340,9.542837145616838,5.052287952093741,3.0969670061728394,3.7019677160493827,5.745416358024691,8.611598765432099,12.445927623456788,16.491953765432097,19.51171401234567,1.3123876543209876,22.48943580246913,10.803357314148682,24.148681055155873,34.26858513189448,47.937649880095925
Oulu,car_bev,3483,8.524011168355646,4.676781463541052,3.0023406172839504,3.485978395061729,5.217199382716048,7.507184567901234,10.333164506172839,15.409423209876548,18.84535117283949,1.487111111111111,18.00012839506173,12.029859316681023,29.227677289692792,44.04249210450761,59.575078954923924
Overall,car_bev,53021,9.080383157919492,4.627555388649625,2.979675308641975,3.6032240740740735,5.387584567901235,8.40563888888889,12.018770987654321,15.424850000000001,17.7934512345679,1.100564197530864,21.963502469135797,11.657645084023311,26.798815563644595,38.40742347371796,49.95379189377794
