city,exposure_level,n_users,mean_co2,median_co2,pct_below_2030,pct_below_2050,mode
Oulu,0.0,3393,4732.158305923961,3860.41,80.34188034188034,39.28676687297377,PT
Oulu,0.1,3393,5485.757883878574,4690.219999999999,74.41791924550544,29.384025935750078,PT
Oulu,0.2,3393,5941.585375184202,5154.694,69.76127320954907,24.992631889183613,PT
Oulu,0.3,3393,6284.86962628942,5452.897999999999,66.16563513115237,21.986442676097848,PT
Oulu,0.4,3393,6541.089141762452,5730.414000000001,63.54258768051872,20.011788977306217,PT
Oulu,0.5,3393,6797.893290893016,5962.396000000001,60.506926024167406,18.508694370763337,PT
Oulu,0.6,3393,7111.009392867668,6270.610000000001,57.08812260536399,16.180371352785148,PT
Oulu,0.7,3393,7459.736273504273,6617.31,53.40406719717065,14.736221632773358,PT
Oulu,0.8,3393,7887.176559976421,7108.697999999999,48.86531093427645,12.879457707043915,PT
Oulu,0.9,3393,8657.894119068671,7804.311999999999,42.61715296198055,10.05010315355143,PT
Oulu,1.0,3393,10945.870652519894,9923.94,27.144120247568527,4.067197170645446,PT
Oulu,0.0,3483,14126.228139534884,11749.28,22.911283376399656,0.2296870513924777,Car
Oulu,0.1,3483,16249.073720930232,14118.9,12.833763996554696,0.0,Car
Oulu,0.2,3483,17509.491412575364,15324.39,9.359747344243468,0.0,Car
Oulu,0.3,3483,18427.675113407982,16165.35,7.550961814527706,0.0,Car
Oulu,0.4,3483,19112.937809359748,16746.57,6.459948320413436,0.0,Car
Oulu,0.5,3483,19726.997275337355,17373.77,5.340223944875108,0.0,Car
Oulu,0.6,3483,20446.073112259543,17919.239999999998,4.3927648578811365,0.0,Car
Oulu,0.7,3483,21258.461673844384,18687.99,3.301751363766867,0.0,Car
Oulu,0.8,3483,22260.19603215619,19640.98,2.383003158196957,0.0,Car
Oulu,0.9,3483,23963.424616709734,21288.120000000003,1.2058570198105083,0.0,Car
Oulu,1.0,3483,28759.17121734137,26160.94,0.4019523399368361,0.0,Car
Oulu,0.0,1451,1181.6741637351552,808.9423467182669,99.51757408683667,92.97036526533424,Bike
Oulu,0.1,1451,1353.8010486745372,1026.2812371022017,99.1040661612681,91.9365954514128,Bike
Oulu,0.2,1451,1457.6443569090966,1124.0060961064862,99.03514817367332,91.10957960027568,Bike
Oulu,0.3,1451,1527.0464538487215,1200.3001839162887,98.82839421088904,90.4893177119228,Bike
Oulu,0.4,1451,1588.4658729987746,1257.3498484662416,98.82839421088904,89.66230186078566,Bike
Oulu,0.5,1451,1646.818754739803,1304.965815785823,98.55272226051,89.0420399724328,Bike
Oulu,0.6,1451,1716.1842313545596,1329.3892412646503,98.48380427291524,87.73259820813232,Bike
Oulu,0.7,1451,1805.8039810422267,1381.9867863536615,98.3459682977257,86.69882839421089,Bike
Oulu,0.8,1451,1927.523202342398,1523.3628750419368,97.93246037215714,85.11371467953136,Bike
Oulu,0.9,1451,2180.392086088273,1764.4251175174188,97.58787043418332,79.9448656099242,Bike
Oulu,1.0,1451,3214.6709283074683,2501.719909733719,91.66092350103378,60.992419021364576,Bike
